"SampleEvent","Area","SiteName","treatment","PlotNumber","Horizon","PfracPSI","pH","LOI","moisture","C%","N%","CN_ratio","PfracBDFe","PfracBDNRP","PfracBDSRP","PfracH2ONRP","PfracH2OSRP","PfracHClCa","PfracHClP","PfracNaOHAl","PfracNaOHNRP","PfracNaOHSRP","PfracNRP","PfracRP","PfracTotAl","PfracTotCa","PfracTotFe","PfracTotP","ResP","FefracDHFe","FefracHHFe","FefracPPFe","ResFe"
"Mid Season","Acidic","Dry","Acidic Dry",1,"Organic",48.203,4.3,61.01,72.26,30.36,1.73,20.45,4.16966666666667,31.431,9.51533333333333,1.86133333333333,1.59333333333333,0.886,9.09566666666667,2.448,688.012666666667,68.5416666666667,721.305,88.746,50.8593333333333,6.096,28.107,1629.73333333333,819.682333333333,0.963,0.349,10.858,15.937
"Mid Season","Acidic","Dry","Acidic Dry",2,"Organic",65.7,4.8,78.28,77.43,40.02,1.17,39.9,2.521,22.167,30.899,7.67,6.443,1.368,7.534,1.868,392.947,56.688,422.784,101.564,19.725,5.838,10.823,741.805,217.457,1.147,0.523,3.16,5.993
"Mid Season","Acidic","Dry","Acidic Dry",3,"Organic",30.0336666666667,4.7,43.59,70.1,24.86,1.12,25.9,0.89,13.915,27.301,7.028,39.954,0.848,3.401,0.43,246.45,24.322,267.393,94.978,40.375,3.226,27.137,839.003,476.632,1.455,0.361,2.231,23.09
"Mid Season","Acidic","Hydric","Acidic Hydric",1,"Organic",90.268,4.6,76.79,75.31,35,1.94,21.12,18.0216666666667,193.078666666667,41.3643333333333,2.57766666666667,1.43333333333333,0.372,6.87133333333333,2.37566666666667,819.804333333333,75.044,1015.46066666667,124.713,13.8243333333333,2.17566666666667,42.1163333333333,1485.12566666667,344.952,2.313,0.796333333333333,24.8543333333333,14.1526666666667
"Mid Season","Acidic","Hydric","Acidic Hydric",2,"Organic",108.508,5.6,52.01,71.19,24.01,1.62,17.35,24.5733333333333,78.3023333333333,17.4696666666667,1.79833333333333,0.56,0.532333333333333,9.13666666666667,3.09966666666667,691.559333333333,62.212,771.66,89.3783333333333,27.537,2.49166666666667,88.1583333333333,1271.94966666667,410.911333333333,1.71433333333333,0.130666666666667,41.3953333333333,44.918
"Mid Season","Acidic","Hydric","Acidic Hydric",3,"Organic",89.9533333333333,5.5,55.23,74.24,25.19,1.55,18.98,18.89,120.918333333333,26.0473333333333,2.95033333333333,1.273,0.809666666666667,21.387,3.59866666666667,748.932666666667,76.6183333333333,872.801333333333,125.325666666667,30.699,4.75166666666667,52.2393333333333,1136.095,137.968,1.92633333333333,0.1685,16.362,33.8095
"Mid Season","Acidic","Mesic","Acidic Mesic",1,"Organic",48.658,4.3,88.89,73.78,44.34,1.32,39.17,0.583,46.946,22.461,4.706,2.821,1.376,7.351,0.431,364.102,70.447,415.754,103.08,4.51,3.087,3.706,759.961,241.127,0.373,0.289,1.209,1.835
"Mid Season","Acidic","Mesic","Acidic Mesic",3,"Organic",14.71,5.1,85.33,78.16,41.72,0.88,55.31,1.48,59.51,39.61,6.734,13.135,1.554,10.918,0.839,477.649,70.339,543.893,134.002,5.172,4.195,4.325,759.903,82.008,0.877333333333333,0.603,2.25266666666667,0.592
"Late Season","Acidic","Dry","Acidic Dry",1,"Organic",30.18,5.7,64.58,72.97,32.35,1.66,22.71,3.66,26.685,11.173,0,3.113,0.986,6.401,2.562,770.755,51.549,797.44,72.236,29.801,7.302,19.659,1447.238,577.562,0.409666666666667,0.496333333333333,4.31,14.4433333333333
"Late Season","Acidic","Dry","Acidic Dry",2,"Organic",34.73,5,53.51,68.7,25.49,1.51,19.62,9.401,20.34,12.122,1.031,1.1815,1.3805,18.0935,2.666,830.8045,85.7555,852.1755,117.1525,46.178,8.067,28.482,1493.177,523.849,0.37,0.389,6.056,21.667
"Late Season","Acidic","Dry","Acidic Dry",3,"Organic",62.421,5.6,48.88,70.96,23.88,1.22,22.92,2.951,38.434,21.554,1.725,0.974,0.566,6.767,0.977,363.498,54.057,403.657,83.352,29.635,1.83,28.659,1068.769,581.76,1.364,0.196,7.96,19.139
"Late Season","Acidic","Hydric","Acidic Hydric",1,"Organic",35.256,5,73.59,78.6,35.31,2.03,20.36,6.709,60.831,10.985,1.748,1.803,0.452,7.434,5.001,1294.648,102.406,1357.227,122.628,16.97,3.429,31.597,1589.703,109.848,1.74533333333333,0.946666666666667,9.839,19.066
"Late Season","Acidic","Hydric","Acidic Hydric",2,"Organic",66.19,5.7,42.29,67.07,23.26,1.59,16.99,10.354,26.531,10.85,1.153,1.2,0.811,17.509,2.499,709.078,72.808,736.762,102.367,40.497,3.45,22.096,1223.649,384.52,2.789,0.317,4.54,14.45
"Late Season","Acidic","Hydric","Acidic Hydric",3,"Organic",52.9316666666667,5.5,35.07,61.26,16.43,1.16,16.59,15.4653333333333,33.8943333333333,14.385,1.42166666666667,0.521333333333333,0.424333333333333,8.01533333333333,2.45966666666667,595.899666666667,78.2106666666667,631.215666666667,101.132333333333,43.4836666666667,3.68733333333333,67.1586666666667,1144.03966666667,411.691666666667,8.815,0.132,8.11,50.102
"Late Season","Acidic","Mesic","Acidic Mesic",1,"Organic",59.996,5.4,88.89,81.69,44.78,0.65,80.35,0.376,18.437,11.698,2.382,1.834,1.328,7.613,0.447,238.923,27.922,259.742,49.067,2.524,4.302,1.817,443.272,134.463,0.375,0.399,0.419,0.624
"Late Season","Acidic","Mesic","Acidic Mesic",2,"Organic",59.1,4.9,78.82,80.61,37.7,1.64,26.89,3.922,74.388,42.761,0.593,14.782,1.414,11.483,1.485,591.79,86.693,666.771,155.719,13.411,5.809,14.523,1526.266,703.776,3.04,1.07,6.742,3.671
"Late Season","Acidic","Mesic","Acidic Mesic",3,"Organic",53.644,5.3,53.5,70.27,27.26,1.35,23.47,3.848,61.059,40.236,1.475,28.317,0.907,21.306,0.841,471.641,79.421,534.175,169.28,23.226,3.405,25.553,1250.63,547.175,2.615,0.387,4.582,17.969
"Early Season","Acidic","Dry","Acidic Dry",1,"Organic",44.26,4.9,62.46,73.12,31.93,1.75,21.29,13.448,39.128,9.707,1.61,1.093,0.988,6.785,3.1,930.894,83.7,971.632,101.285,36.333,6.22,29.141,1698.787,625.87,1.091,0.315,11.519,16.216
"Early Season","Acidic","Dry","Acidic Dry",2,"Organic",50.529,3.8,65.41,75.89,30.5,1.57,22.73,8.96366666666667,77.6093333333333,24.411,4.31666666666667,4.90233333333333,0.740333333333333,6.09233333333333,1.95433333333333,848.174333333333,90.14,930.100333333333,125.545666666667,24.6615,4.3085,30.2195,1199.089,201.5565,1.157,0.32,17.889,10.854
"Early Season","Acidic","Dry","Acidic Dry",3,"Organic",32.524,5.4,50.58,69.52,25.48,1.42,20.99,1.394,3.435,27.972,1.979,0.71,0.583,5.147,1.823,620.669,52.736,626.083,86.565,23.607,2.465,14.736,1030.221,317.573,1.32,0.423,12.389,0.604000000000001
"Early Season","Acidic","Hydric","Acidic Hydric",1,"Organic",96.7453333333333,5.6,82.92,82.72,40.38,1.56,30.19,17.415,165.326,60.128,13.243,7.667,0.585,9.09,1.555,738.599,94.976,917.168,171.861,8.386,4.376,25.807,1345.873,256.844,2.636,0.228,29.112,-6.169
"Early Season","Acidic","Hydric","Acidic Hydric",2,"Organic",138.63,5.3,61.9,80.29,30.06,1.8,19.53,21.808,47.611,28.395,1.567,2.323,0.804,4.169,1.583,380.102,86.394,429.28,121.281,20.349,3.536,42.767,1333.875,783.314,3.128,0.218,13.524,25.897
"Early Season","Acidic","Hydric","Acidic Hydric",3,"Organic",97.459,5.7,61.69,77.76,29.68,2.26,15.81,11.44,114.667,47.981,9.129,7.964,0.397,7.769,1.232,616.887,94.537,740.683,158.251,20.499,2.505,41.669,1588.699,689.765,2.127,0.079,21.332,18.131
"Early Season","Acidic","Mesic","Acidic Mesic",3,"Organic",55.922,5,68.14,76.39,35.82,1.26,33.13,3.775,52.259,22.99,2.225,1.201,0.806,6.311,1.193,386.55,56.687,441.034,87.189,17.64,2.452,13.941,693.293,165.07,1.793,0.191,8.523,3.434
"Mid Season","Non-acidic","Dry","Non-acidic Dry",1,"Organic",71.094,5.6,49.98,73.78,22.49,1.34,19.65,23.473,25.029,20.176,2.207,0.444,1.602,63.168,1.723,555.163,48.638,582.399,132.426,19.937,10.57,30.79,1017.796,302.971,0.336,0.589,3.809,26.056
"Mid Season","Non-acidic","Dry","Non-acidic Dry",3,"Organic",30.519,6.6,51.76,73.29,30.62,1.88,19.06,16.247,21.472,18.154,1.317,0.723,1.972,21.237,1.33,650.788,52.65,673.577,92.764,23.747,9.911,36.702,1050.568,284.227,0.524,0.597,14.257,21.324
"Mid Season","Non-acidic","Hydric","Non-acidic Hydric",1,"Organic",48.632,6,79.9,87.31,39.75,2.66,17.46,0.805,0,48.231,3.761,1.622,3.324,19.102,0.501,228.422,59.562,232.183,128.517,6.772,10.67,10.791,723.681,362.981,0.825,0.653,3.037,6.276
"Mid Season","Non-acidic","Hydric","Non-acidic Hydric",2,"Organic",37.734,6.8,73.18,82.32,34.91,2.36,17.29,1.367,0,11.295,3.054,0.83,1.525,11.181,0.585,200.958,30.016,204.012,53.322,7.951,11.305,38.44,828.311,570.977,0.45,0.385,1.145,36.46
"Mid Season","Non-acidic","Hydric","Non-acidic Hydric",3,"Organic",32.868,6.1,78.6,84.65,39.07,2.57,17.74,1.33066666666667,0,13.98,2.23766666666667,0.988666666666667,5.03233333333333,39.4366666666667,1.38133333333333,545.557,36.7026666666667,547.794666666667,91.108,7.93666666666667,11.2846666666667,14.53,846.831666666667,207.929,0.432,0.646,3.271,10.181
"Mid Season","Non-acidic","Mesic","Non-acidic Mesic",1,"Organic",120.336,5.7,82.15,84.3,40.63,2.05,23.12,0.416,0,37.333,6.037,31.31,8.906,19.472,0.122,382.945,54.54,388.982,142.655,6.488,11.479,6.938,1337.76,806.123,0.451,0.721,1.898,3.868
"Mid Season","Non-acidic","Mesic","Non-acidic Mesic",2,"Organic",22.379,6.8,73.85,80.02,36.6,2.15,19.85,2.786,0,5.189,2.139,1.188,2.275,9.518,2.676,780.566,30.947,782.705,46.842,13.657,11.209,8.738,1464.535,634.988,0.312,0.612,3.184,4.63
"Mid Season","Non-acidic","Mesic","Non-acidic Mesic",3,"Organic",50.3243333333333,5.9,85.05,82.5,40.95,2.24,21.33,1.735,2.574,24.878,4.773,3.78,6.278,21.738,1.608,1128.056,66.186,1135.403,116.582,5.347,10.427,8.736,1463.597,211.612,0.601,0.557,1.395,6.183
"Late Season","Non-acidic","Dry","Non-acidic Dry",1,"Organic",25.013,6.7,51.01,75.28,24.91,1.45,20.1,3.722,10.146,16.35,1.116,2.027,2.302,42.161,1.932,615.69,37.211,626.952,97.749,23.757,12.492,15.153,1288.299,563.598,1.612,0.422,1.641,11.478
"Late Season","Non-acidic","Dry","Non-acidic Dry",2,"Organic",23.519,7,57.16,77.29,27.04,1.47,21.45,1.61,8.84,28.194,0,3.636,3.296,19.619,0.754,429.445,33.521,438.285,84.97,19.484,11.518,15.175,1237.843,714.588,2.753,0.569,2.598,9.255
"Late Season","Non-acidic","Dry","Non-acidic Dry",3,"Organic",15.749,6.6,30.46,58.33,12.29,0.81,17.56,6.868,6.013,14.214,0.883,0.962,1.099,43.528,0.985,352.348,27.007,359.244,85.711,23.282,6.636,91.552,845.324,400.369,17.614,0.142,9.55,64.246
"Late Season","Non-acidic","Hydric","Non-acidic Hydric",1,"Organic",23.248,6.5,77.34,80.45,37.96,2.71,16.35,0.848333333333333,0,20.4413333333333,2.27533333333333,1.27533333333333,4.736,41.225,1.10033333333333,270.645,30.967,272.920333333333,93.9086666666667,8.35233333333333,12.56,4.85833333333333,699.259,332.43,0.246,0.431333333333333,0.508333333333333,3.67266666666667
"Late Season","Non-acidic","Hydric","Non-acidic Hydric",2,"Organic",47.325,6.6,81.67,84.82,40.49,2.34,20.23,12.0863333333333,0,23.7096666666667,3.77333333333333,0.732666666666667,3.30833333333333,31.405,0.830333333333333,401.57,42.842,405.343333333333,98.6893333333333,5.716,11.4813333333333,16.926,713.657666666667,209.625,1.53566666666667,0.792666666666667,4.639,9.95866666666667
"Late Season","Non-acidic","Hydric","Non-acidic Hydric",3,"Organic",55.8103333333333,6.5,74.53,84.91,36,2.31,18.17,1.33833333333333,0,23.388,2.07666666666667,1.303,5.087,41.4256666666667,0.617333333333333,266.555333333333,28.8873333333333,268.632,95.004,7.78766666666667,11.4786666666667,20.578,613.428666666667,249.792666666667,0.705666666666667,0.4985,4.41933333333333,7.7745
"Late Season","Non-acidic","Mesic","Non-acidic Mesic",1,"Organic",21.4506666666667,6.1,76.3,83.88,38.36,1.93,23.24,16.744,28.816,43.619,3.33,1.477,2.4,19.319,1.409,777.21,41.585,809.356,106,8.145,12.83,26.099,1262.011,346.655,12.259,0.428,17.313,-3.901
"Late Season","Non-acidic","Mesic","Non-acidic Mesic",2,"Organic",44.69,6.2,86.75,84.53,41.81,1.92,25.47,9.072,46.673,54.61,0.714,14.181,1.876,11.609,1.542,707.745,70.604,755.132,151.004,5.817,10.96,12.374,1425.538,519.402,2.731,0.744,4.476,4.423
"Late Season","Non-acidic","Mesic","Non-acidic Mesic",3,"Organic",39.866,5.9,69.55,76.28,34.94,1.84,22.09,3.382,10.758,11.769,1.867,1.13,1.967,18.043,1.72,924.311,41.516,936.936,72.458,10.195,10.693,41.5,1497.662,488.268,6.951,0.502,19.834,14.213
"Early Season","Non-acidic","Dry","Non-acidic Dry",1,"Organic",46.277,6.8,59.61,81.06,22.44,1.17,22.55,3.715,4,32.349,5.33,6.416,2.995,41.051,0.91,339.713,36.372,349.043,116.188,22.908,13.818,29.822,1628.635,1163.404,0.653333333333333,0.344666666666667,1.30733333333333,27.5163333333333
"Early Season","Non-acidic","Dry","Non-acidic Dry",2,"Organic",26.317,6.6,61.96,78.66,28.88,1.6,21.1,2.391,27.684,39.774,8.603,40.134,3.628,32.953,0.724,498.616,62.058,534.903,174.919,39.26,13.748,61.497,2356.399,1646.577,0.81,0.661,2.233,57.793
"Early Season","Non-acidic","Dry","Non-acidic Dry",3,"Organic",40.13,5.9,62.12,79.58,26.6,1.35,22.98,4.186,16.275,33.18,9.289,13.904,2.096,35.59,0.716,465.162,38.161,490.726,120.835,38.97,13.304,61.238,2868.501,2256.94,0.672,0.572,3.327,56.667
"Early Season","Non-acidic","Hydric","Non-acidic Hydric",1,"Organic",77.434,6.6,77.91,87.59,37.53,2.38,18.4,1.73,0,16.503,4.219,1.169,3.196,57.835,0.968,235.93,29.313,240.149,104.82,9.3,11.202,16.326,764.287,419.318,0.771,0.764,1.536,13.255
"Early Season","Non-acidic","Hydric","Non-acidic Hydric",2,"Organic",74.5313333333333,5.6,80.4,87.32,39.73,2.7,17.13,12.896,21.964,50.962,2.995,2.855,3.118,39.465,0.641,508.189,60.816,533.148,154.098,6.444,11.376,27.489,1164.673,477.427,1.021,0.614,6.387,19.467
"Early Season","Non-acidic","Hydric","Non-acidic Hydric",3,"Organic",109.422,6.5,80.69,87.52,40.48,2.7,17.48,1.463,0,14.414,2.371,1.118,4.47,36.061,0.848,183.658,31.008,186.029,82.601,7.495,8.828,6.663,645.816,377.186,0.548,0.836,2.117,3.162
"Early Season","Non-acidic","Mesic","Non-acidic Mesic",1,"Organic",57.057,6.3,84.67,85.96,38.8,2.26,22.4,0.897,4.919,50.425,6.19,34.802,6.505,21.344,0.493,598.957,65.314,610.066,171.885,3.845,11.158,5.723,1112.076,330.125,1.149,0.857,1.879,1.838
"Early Season","Non-acidic","Mesic","Non-acidic Mesic",2,"Organic",47.248,6.5,88.08,87.57,42.5,1.89,32.08,0.543,0,36.57,4.048,2.258,6.314,7.592,0.309,406.75,57.837,410.798,104.257,2.805,15.648,2.102,581.845,66.79,0.396,0.503,0.06,1.143
"Early Season","Non-acidic","Mesic","Non-acidic Mesic",3,"Organic",79.22,6.3,83.43,83.83,40.38,2.33,20.53,2.014,18.914,37.122,2.198,1.902,7.939,23.846,1.02,783.988,65.166,805.1,128.036,4.949,11.463,10.215,1317.816,384.68,0.282,0.341,0.096,9.496
